date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-03-14,63976264,278,207,2.196%,1396464.4,8245.4,0.590%,2.0,Maluma
2024-03-13,63969212,278,207,2.188%,1391681.4,8191.4,0.589%,3.0,Maluma
2024-03-12,63965140,278,207,2.169%,1379525.7,8064.3,0.585%,3.0,Maluma
2024-03-11,63958269,278,207,1.655%,1053945.5,4301.0,0.408%,3.0,Maluma
2024-03-10,63936324,278,206,1.627%,1036248.3,4275.3,0.413%,3.0,Maluma
2024-03-09,63906031,278,206,1.450%,922847.6,3940.1,0.427%,3.0,Maluma
2024-03-08,63906472,278,205,1.352%,860622.8,3565.2,0.414%,3.0,Maluma
2024-03-07,63910475,278,204,1.349%,858742.4,3558.5,0.414%,3.0,Maluma
2024-03-06,63916375,278,204,1.346%,856848.8,3548.8,0.414%,2.0,Maluma
2024-03-05,63917595,278,204,1.342%,853924.1,3536.3,0.414%,3.0,Maluma
2024-03-04,63920562,278,204,1.334%,849362.4,3520.0,0.414%,3.0,Maluma
2024-03-03,63922841,278,204,1.311%,834404.2,3396.2,0.407%,3.0,Maluma
2024-03-02,63927124,278,203,1.279%,814082.1,3844.4,0.472%,3.0,Maluma
2024-03-01,63927893,278,202,1.274%,810902.6,3836.3,0.473%,3.0,Maluma
2024-02-29,63935497,278,202,1.514%,963353.9,4373.3,0.454%,3.0,Maluma
2024-02-28,63938989,278,201,1.510%,960853.3,4366.0,0.454%,3.0,Maluma
2024-02-27,63937250,278,201,1.504%,957202.5,4351.5,0.455%,3.0,Maluma
2024-02-26,63936514,278,201,1.523%,969731.7,4114.7,0.424%,3.0,Maluma
2024-02-25,63935298,278,201,1.518%,966552.1,4103.7,0.425%,4.0,Maluma
2024-02-24,63928817,278,200,1.542%,981401.0,4103.2,0.418%,4.0,Maluma
2024-02-23,63923182,278,200,1.536%,978022.5,4089.3,0.418%,4.0,Maluma
2024-02-22,63923342,278,199,1.527%,972272.3,4056.8,0.417%,3.0,Maluma
2024-02-21,63922256,278,199,1.535%,976938.2,3949.6,0.404%,4.0,Maluma
2024-02-20,63922519,278,198,1.680%,1069412.1,4296.2,0.402%,3.0,Maluma
2024-02-19,63923002,278,197,1.559%,992405.7,4050.6,0.408%,3.0,Maluma
2024-02-18,63923846,278,197,1.554%,989455.0,4039.7,0.408%,2.0,Maluma
2024-02-17,63924330,278,196,1.548%,985209.4,4032.8,0.409%,2.0,Maluma
2024-02-16,63923797,278,196,1.533%,976158.7,4008.9,0.411%,3.0,Maluma
2024-02-15,63919297,277,196,1.417%,901463.5,4068.3,0.451%,4.0,Maluma
2024-02-14,63924533,277,195,1.413%,899115.2,4061.2,0.452%,4.0,Maluma
